budget,selection,optimistic_worst_unmet_pct,mapping_worst_unmet_pct,mapping_best_unmetmet_pct
4,LH2_Tk_BE;LH2_Tk_DE;LH2_Tk_DEbp;LH2_Tk_NL,14.473418510995506,18.19006386522588,14.473418510995506
5,LH2_Tk_BE;LH2_Tk_DE;LH2_Tk_DEbp;LH2_Tk_NL;LH2_Tk_PLN,14.473418510995506,18.19006386522588,14.473418510995506
7,LH2_Tk_BE;LH2_Tk_DE;LH2_Tk_FRSW;LH2_Tk_FRW;LH2_Tk_FRn;LH2_Tk_ITa;LH2_Tk_NL,14.473418510995506,24.71078225732929,14.473418510995506
8,LH2_Tk_BE;LH2_Tk_DE;LH2_Tk_FRSW;LH2_Tk_FRW;LH2_Tk_FRn;LH2_Tk_ITa;LH2_Tk_NL;LH2_Tk_PLN,14.473418510995506,24.71078225732929,14.473418510995506
6,LH2_Tk_BE;LH2_Tk_DE;LH2_Tk_FRSW;LH2_Tk_FRW;LH2_Tk_FRn;LH2_Tk_NL,14.473418510995506,24.71078225732929,14.473418510995506
7,LH2_Tk_BE;LH2_Tk_DE;LH2_Tk_FRSW;LH2_Tk_FRW;LH2_Tk_FRn;LH2_Tk_NL;LH2_Tk_PLN,14.473418510995506,24.71078225732929,14.473418510995506
6,LH2_Tk_BE;LH2_Tk_DE;LH2_Tk_FRSW;LH2_Tk_FRW;LH2_Tk_ITa;LH2_Tk_NL,14.473418510995506,24.71078225732929,14.473418510995506
7,LH2_Tk_BE;LH2_Tk_DE;LH2_Tk_FRSW;LH2_Tk_FRW;LH2_Tk_ITa;LH2_Tk_NL;LH2_Tk_PLN,14.473418510995506,24.71078225732929,14.473418510995506
5,LH2_Tk_BE;LH2_Tk_DE;LH2_Tk_FRSW;LH2_Tk_FRW;LH2_Tk_NL,14.473418510995506,24.71078225732929,14.473418510995506
6,LH2_Tk_BE;LH2_Tk_DE;LH2_Tk_FRSW;LH2_Tk_FRW;LH2_Tk_NL;LH2_Tk_PLN,14.473418510995506,24.71078225732929,14.473418510995506
6,LH2_Tk_BE;LH2_Tk_DE;LH2_Tk_FRSW;LH2_Tk_FRn;LH2_Tk_ITa;LH2_Tk_NL,14.473418510995506,24.71078225732929,14.473418510995506
7,LH2_Tk_BE;LH2_Tk_DE;LH2_Tk_FRSW;LH2_Tk_FRn;LH2_Tk_ITa;LH2_Tk_NL;LH2_Tk_PLN,14.473418510995506,24.71078225732929,14.473418510995506
5,LH2_Tk_BE;LH2_Tk_DE;LH2_Tk_FRSW;LH2_Tk_FRn;LH2_Tk_NL,14.473418510995506,24.71078225732929,14.473418510995506
6,LH2_Tk_BE;LH2_Tk_DE;LH2_Tk_FRSW;LH2_Tk_FRn;LH2_Tk_NL;LH2_Tk_PLN,14.473418510995506,24.71078225732929,14.473418510995506
5,LH2_Tk_BE;LH2_Tk_DE;LH2_Tk_FRSW;LH2_Tk_ITa;LH2_Tk_NL,14.473418510995506,24.71078225732929,14.473418510995506
6,LH2_Tk_BE;LH2_Tk_DE;LH2_Tk_FRSW;LH2_Tk_ITa;LH2_Tk_NL;LH2_Tk_PLN,14.473418510995506,24.71078225732929,14.473418510995506
4,LH2_Tk_BE;LH2_Tk_DE;LH2_Tk_FRSW;LH2_Tk_NL,14.473418510995506,24.71078225732929,14.473418510995506
5,LH2_Tk_BE;LH2_Tk_DE;LH2_Tk_FRSW;LH2_Tk_NL;LH2_Tk_PLN,14.473418510995506,24.71078225732929,14.473418510995506
6,LH2_Tk_BE;LH2_Tk_DE;LH2_Tk_FRW;LH2_Tk_FRn;LH2_Tk_ITa;LH2_Tk_NL,14.473418510995506,24.71078225732929,14.473418510995506
7,LH2_Tk_BE;LH2_Tk_DE;LH2_Tk_FRW;LH2_Tk_FRn;LH2_Tk_ITa;LH2_Tk_NL;LH2_Tk_PLN,14.473418510995506,24.71078225732929,14.473418510995506
5,LH2_Tk_BE;LH2_Tk_DE;LH2_Tk_FRW;LH2_Tk_FRn;LH2_Tk_NL,14.473418510995506,24.71078225732929,14.473418510995506
6,LH2_Tk_BE;LH2_Tk_DE;LH2_Tk_FRW;LH2_Tk_FRn;LH2_Tk_NL;LH2_Tk_PLN,14.473418510995506,24.71078225732929,14.473418510995506
5,LH2_Tk_BE;LH2_Tk_DE;LH2_Tk_FRW;LH2_Tk_ITa;LH2_Tk_NL,14.473418510995506,24.71078225732929,14.473418510995506
6,LH2_Tk_BE;LH2_Tk_DE;LH2_Tk_FRW;LH2_Tk_ITa;LH2_Tk_NL;LH2_Tk_PLN,14.473418510995506,24.71078225732929,14.473418510995506
4,LH2_Tk_BE;LH2_Tk_DE;LH2_Tk_FRW;LH2_Tk_NL,14.473418510995506,24.71078225732929,14.473418510995506
5,LH2_Tk_BE;LH2_Tk_DE;LH2_Tk_FRW;LH2_Tk_NL;LH2_Tk_PLN,14.473418510995506,24.71078225732929,14.473418510995506
5,LH2_Tk_BE;LH2_Tk_DE;LH2_Tk_FRn;LH2_Tk_ITa;LH2_Tk_NL,14.473418510995506,24.71078225732929,14.473418510995506
6,LH2_Tk_BE;LH2_Tk_DE;LH2_Tk_FRn;LH2_Tk_ITa;LH2_Tk_NL;LH2_Tk_PLN,14.473418510995506,24.71078225732929,14.473418510995506
4,LH2_Tk_BE;LH2_Tk_DE;LH2_Tk_FRn;LH2_Tk_NL,14.473418510995506,24.71078225732929,14.473418510995506
5,LH2_Tk_BE;LH2_Tk_DE;LH2_Tk_FRn;LH2_Tk_NL;LH2_Tk_PLN,14.473418510995506,24.71078225732929,14.473418510995506
4,LH2_Tk_BE;LH2_Tk_DE;LH2_Tk_ITa;LH2_Tk_NL,14.473418510995506,24.71078225732929,14.473418510995506
5,LH2_Tk_BE;LH2_Tk_DE;LH2_Tk_ITa;LH2_Tk_NL;LH2_Tk_PLN,14.473418510995506,24.71078225732929,14.473418510995506
3,LH2_Tk_BE;LH2_Tk_DE;LH2_Tk_NL,14.473418510995506,24.71078225732929,14.473418510995506
4,LH2_Tk_BE;LH2_Tk_DE;LH2_Tk_NL;LH2_Tk_PLN,14.473418510995506,24.71078225732929,14.473418510995506
7,LH2_Tk_BE;LH2_Tk_DEbp;LH2_Tk_FRSW;LH2_Tk_FRW;LH2_Tk_FRn;LH2_Tk_ITa;LH2_Tk_NL,18.19006386522588,24.71078225732929,18.19006386522588
8,LH2_Tk_BE;LH2_Tk_DEbp;LH2_Tk_FRSW;LH2_Tk_FRW;LH2_Tk_FRn;LH2_Tk_ITa;LH2_Tk_NL;LH2_Tk_PLN,18.19006386522588,24.71078225732929,18.19006386522588
6,LH2_Tk_BE;LH2_Tk_DEbp;LH2_Tk_FRSW;LH2_Tk_FRW;LH2_Tk_FRn;LH2_Tk_NL,18.19006386522588,24.71078225732929,18.19006386522588
7,LH2_Tk_BE;LH2_Tk_DEbp;LH2_Tk_FRSW;LH2_Tk_FRW;LH2_Tk_FRn;LH2_Tk_NL;LH2_Tk_PLN,18.19006386522588,24.71078225732929,18.19006386522588
6,LH2_Tk_BE;LH2_Tk_DEbp;LH2_Tk_FRSW;LH2_Tk_FRW;LH2_Tk_ITa;LH2_Tk_NL,18.19006386522588,24.71078225732929,18.19006386522588
7,LH2_Tk_BE;LH2_Tk_DEbp;LH2_Tk_FRSW;LH2_Tk_FRW;LH2_Tk_ITa;LH2_Tk_NL;LH2_Tk_PLN,18.19006386522588,24.71078225732929,18.19006386522588
5,LH2_Tk_BE;LH2_Tk_DEbp;LH2_Tk_FRSW;LH2_Tk_FRW;LH2_Tk_NL,18.19006386522588,24.71078225732929,18.19006386522588
6,LH2_Tk_BE;LH2_Tk_DEbp;LH2_Tk_FRSW;LH2_Tk_FRW;LH2_Tk_NL;LH2_Tk_PLN,18.19006386522588,24.71078225732929,18.19006386522588
6,LH2_Tk_BE;LH2_Tk_DEbp;LH2_Tk_FRSW;LH2_Tk_FRn;LH2_Tk_ITa;LH2_Tk_NL,18.19006386522588,24.71078225732929,18.19006386522588
7,LH2_Tk_BE;LH2_Tk_DEbp;LH2_Tk_FRSW;LH2_Tk_FRn;LH2_Tk_ITa;LH2_Tk_NL;LH2_Tk_PLN,18.19006386522588,24.71078225732929,18.19006386522588
5,LH2_Tk_BE;LH2_Tk_DEbp;LH2_Tk_FRSW;LH2_Tk_FRn;LH2_Tk_NL,18.19006386522588,24.71078225732929,18.19006386522588
6,LH2_Tk_BE;LH2_Tk_DEbp;LH2_Tk_FRSW;LH2_Tk_FRn;LH2_Tk_NL;LH2_Tk_PLN,18.19006386522588,24.71078225732929,18.19006386522588
5,LH2_Tk_BE;LH2_Tk_DEbp;LH2_Tk_FRSW;LH2_Tk_ITa;LH2_Tk_NL,18.19006386522588,24.71078225732929,18.19006386522588
6,LH2_Tk_BE;LH2_Tk_DEbp;LH2_Tk_FRSW;LH2_Tk_ITa;LH2_Tk_NL;LH2_Tk_PLN,18.19006386522588,24.71078225732929,18.19006386522588
4,LH2_Tk_BE;LH2_Tk_DEbp;LH2_Tk_FRSW;LH2_Tk_NL,18.19006386522588,24.71078225732929,18.19006386522588
5,LH2_Tk_BE;LH2_Tk_DEbp;LH2_Tk_FRSW;LH2_Tk_NL;LH2_Tk_PLN,18.19006386522588,24.71078225732929,18.19006386522588
6,LH2_Tk_BE;LH2_Tk_DEbp;LH2_Tk_FRW;LH2_Tk_FRn;LH2_Tk_ITa;LH2_Tk_NL,18.19006386522588,24.71078225732929,18.19006386522588
7,LH2_Tk_BE;LH2_Tk_DEbp;LH2_Tk_FRW;LH2_Tk_FRn;LH2_Tk_ITa;LH2_Tk_NL;LH2_Tk_PLN,18.19006386522588,24.71078225732929,18.19006386522588
5,LH2_Tk_BE;LH2_Tk_DEbp;LH2_Tk_FRW;LH2_Tk_FRn;LH2_Tk_NL,18.19006386522588,24.71078225732929,18.19006386522588
6,LH2_Tk_BE;LH2_Tk_DEbp;LH2_Tk_FRW;LH2_Tk_FRn;LH2_Tk_NL;LH2_Tk_PLN,18.19006386522588,24.71078225732929,18.19006386522588
5,LH2_Tk_BE;LH2_Tk_DEbp;LH2_Tk_FRW;LH2_Tk_ITa;LH2_Tk_NL,18.19006386522588,24.71078225732929,18.19006386522588
6,LH2_Tk_BE;LH2_Tk_DEbp;LH2_Tk_FRW;LH2_Tk_ITa;LH2_Tk_NL;LH2_Tk_PLN,18.19006386522588,24.71078225732929,18.19006386522588
