scenario_label,scenario_id,year,level,demand_level,failure_count,unmet_gwh,total_demand_gwh,served_gwh,demand_cut_rate_pct,method
S2040_Advanced_medium,S2040_Advanced_medium,2040,Advanced,medium,0,0.0,193439.95991161634,193439.95991161634,0.0,deterministic_central
S2040_Advanced_high,S2040_Advanced_high,2040,Advanced,high,0,10330.996508556273,210934.99650855624,200603.99999999997,4.897715732124713,deterministic_central
S2030_PCIPMI_low__fail__LH2_Tk_NL|NLh2,S2030_PCIPMI_low,2030,PCI/PMI,low,1,67459.04921819372,100491.54921819372,33032.5,67.12907676616895,deterministic_central
S2030_PCIPMI_medium__fail__LH2_Tk_NL|NLh2,S2030_PCIPMI_medium,2030,PCI/PMI,medium,1,77308.0006879507,110340.5006879507,33032.5,70.06312297474722,deterministic_central
S2030_PCIPMI_high__fail__LH2_Tk_NL|NLh2,S2030_PCIPMI_high,2030,PCI/PMI,high,1,116399.83790139484,149432.33790139484,33032.5,77.89467764213327,deterministic_central
S2030_Advanced_low__fail__LH2_Tk_NL|NLh2,S2030_Advanced_low,2030,Advanced,low,1,56253.54921819372,100491.54921819372,44237.99999999999,55.97838789016218,deterministic_central
S2030_Advanced_medium__fail__LH2_Tk_NL|NLh2,S2030_Advanced_medium,2030,Advanced,medium,1,66102.5006879507,110340.5006879507,44238.0,59.90774038165042,deterministic_central
S2030_Advanced_high__fail__LH2_Tk_NL|NLh2,S2030_Advanced_high,2030,Advanced,high,1,105194.33790139483,149432.33790139484,44238.000000000015,70.39596607985139,deterministic_central
S2040_PCIPMI_low__fail__LH2_Tk_NL|NLh2,S2040_PCIPMI_low,2040,PCI/PMI,low,1,34793.54276304261,142943.0427630426,108149.5,24.340843800785773,deterministic_central
S2040_PCIPMI_medium__fail__LH2_Tk_NL|NLh2,S2040_PCIPMI_medium,2040,PCI/PMI,medium,1,85290.45991161636,193439.95991161634,108149.49999999999,44.09143795862343,deterministic_central
S2040_PCIPMI_high__fail__LH2_Tk_NL|NLh2,S2040_PCIPMI_high,2040,PCI/PMI,high,1,102785.49650855626,210934.99650855624,108149.49999999999,48.728517415263006,deterministic_central
S2040_Advanced_low__fail__LH2_Tk_NL|NLh2,S2040_Advanced_low,2040,Advanced,low,1,23588.04276304261,142943.0427630426,119355.0,16.50170746829884,deterministic_central
S2040_Advanced_medium__fail__LH2_Tk_NL|NLh2,S2040_Advanced_medium,2040,Advanced,medium,1,74084.95991161636,193439.95991161634,119354.99999999999,38.29868448352974,deterministic_central
S2040_Advanced_high__fail__LH2_Tk_NL|NLh2,S2040_Advanced_high,2040,Advanced,high,1,91579.99650855626,210934.99650855624,119354.99999999999,43.41621732970302,deterministic_central
S2030_PCIPMI_low__fail__LH2_Tk_BE|BEh2,S2030_PCIPMI_low,2030,PCI/PMI,low,1,55961.54921819372,100491.54921819372,44529.99999999999,55.68781619306755,deterministic_central
S2030_PCIPMI_medium__fail__LH2_Tk_BE|BEh2,S2030_PCIPMI_medium,2030,PCI/PMI,medium,1,65810.5006879507,110340.5006879507,44530.0,59.643105004631614,deterministic_central
S2030_PCIPMI_high__fail__LH2_Tk_BE|BEh2,S2030_PCIPMI_high,2030,PCI/PMI,high,1,104902.33790139484,149432.33790139484,44530.0,70.20055991536198,deterministic_central
S2030_Advanced_low__fail__LH2_Tk_BE|BEh2,S2030_Advanced_low,2030,Advanced,low,1,28148.549218193708,100491.54921819372,72343.0,28.010862044803158,deterministic_central
S2030_Advanced_medium__fail__LH2_Tk_BE|BEh2,S2030_Advanced_medium,2030,Advanced,medium,1,37997.5006879507,110340.5006879507,72343.0,34.436585343590046,deterministic_central
S2030_Advanced_high__fail__LH2_Tk_BE|BEh2,S2030_Advanced_high,2030,Advanced,high,1,77089.33790139483,149432.33790139484,72343.00000000001,51.58812274774379,deterministic_central
S2040_PCIPMI_low__fail__LH2_Tk_BE|BEh2,S2040_PCIPMI_low,2040,PCI/PMI,low,1,40816.042763042606,142943.0427630426,102127.0,28.554060396422063,deterministic_central
S2040_PCIPMI_medium__fail__LH2_Tk_BE|BEh2,S2040_PCIPMI_medium,2040,PCI/PMI,medium,1,91312.95991161636,193439.95991161634,102126.99999999999,47.20480709018844,deterministic_central
S2040_PCIPMI_high__fail__LH2_Tk_BE|BEh2,S2040_PCIPMI_high,2040,PCI/PMI,high,1,108807.99650855626,210934.99650855624,102126.99999999999,51.58366241238809,deterministic_central
S2040_Advanced_low__fail__LH2_Tk_BE|BEh2,S2040_Advanced_low,2040,Advanced,low,1,13003.042763042613,142943.0427630426,129940.0,9.096660118392625,deterministic_central
S2040_Advanced_medium__fail__LH2_Tk_BE|BEh2,S2040_Advanced_medium,2040,Advanced,medium,1,63499.959911616366,193439.95991161634,129939.99999999997,32.826702373506386,deterministic_central
S2040_Advanced_high__fail__LH2_Tk_BE|BEh2,S2040_Advanced_high,2040,Advanced,high,1,80994.99650855626,210934.99650855624,129939.99999999999,38.39808369839228,deterministic_central
S2030_PCIPMI_low__fail__LH2_Tk_DE|DEh2,S2030_PCIPMI_low,2030,PCI/PMI,low,1,45705.049218193715,100491.54921819372,54786.5,45.481485332618334,deterministic_central
S2030_PCIPMI_medium__fail__LH2_Tk_DE|DEh2,S2030_PCIPMI_medium,2030,PCI/PMI,medium,1,55554.0006879507,110340.5006879507,54786.5,50.347787386845944,deterministic_central
S2030_PCIPMI_high__fail__LH2_Tk_DE|DEh2,S2030_PCIPMI_high,2030,PCI/PMI,high,1,94645.83790139484,149432.33790139484,54786.5,63.33691838767076,deterministic_central
S2030_Advanced_low__fail__LH2_Tk_DE|DEh2,S2030_Advanced_low,2030,Advanced,low,1,17892.04921819371,100491.54921819372,82599.5,17.804531184353962,deterministic_central
S2030_Advanced_medium__fail__LH2_Tk_DE|DEh2,S2030_Advanced_medium,2030,Advanced,medium,1,27741.000687950695,110340.5006879507,82599.5,25.14126772580437,deterministic_central
S2030_Advanced_high__fail__LH2_Tk_DE|DEh2,S2030_Advanced_high,2030,Advanced,high,1,66832.83790139483,149432.33790139484,82599.50000000001,44.72448122005257,deterministic_central
S2040_PCIPMI_low__fail__LH2_Tk_DE|DEh2,S2040_PCIPMI_low,2040,PCI/PMI,low,1,0.0,142943.0427630426,142943.0427630426,0.0,deterministic_central
S2040_PCIPMI_medium__fail__LH2_Tk_DE|DEh2,S2040_PCIPMI_medium,2040,PCI/PMI,medium,1,40614.45991161635,193439.95991161634,152825.5,20.99589967355933,deterministic_central
S2040_PCIPMI_high__fail__LH2_Tk_DE|DEh2,S2040_PCIPMI_high,2040,PCI/PMI,high,1,58109.49650855624,210934.99650855624,152825.5,27.548532709316977,deterministic_central
S2040_Advanced_low__fail__LH2_Tk_DE|DEh2,S2040_Advanced_low,2040,Advanced,low,1,0.0,142943.0427630426,142943.0427630426,0.0,deterministic_central
S2040_Advanced_medium__fail__LH2_Tk_DE|DEh2,S2040_Advanced_medium,2040,Advanced,medium,1,12801.459911616366,193439.95991161634,180638.49999999997,6.617794956877273,deterministic_central
S2040_Advanced_high__fail__LH2_Tk_DE|DEh2,S2040_Advanced_high,2040,Advanced,high,1,30296.496508556258,210934.99650855624,180638.5,14.362953995321176,deterministic_central
